sID,sentence,sentence_ru,top_label,label,label_id,class_name
5570,Maybe it's because I'm calling your vet to discuss your dog's wart and how you terribly afraid it might be cancerous.,"Может быть, это потому, что я звоню вашему ветеринару, чтобы обсудить бородавку вашей собаки и то, как вы ужасно боитесь, что она может оказаться раковой.",Family Issues,2,1,family
5574,I feel really lonely and depressed.,Я чувствую себя очень одиноким и подавленным.,Emotional Turmoil,6,5,unknown
5977,"It's like two weeks pay won't even be enough to cover the cost of one round trip ticket, and I have to go once a month!","Будто двухнедельной зарплаты не хватит даже на один билет туда и обратно, а мне придется ехать раз в месяц!",Financial Problem,5,4,finance
4678,Spending too much time at work and not enough time at home.,Слишком много времени проводите на работе и недостаточно времени дома.,Work,1,0,work
1131,i recently made a large purchase and have found myself financially unstable.,Недавно я сделал крупную покупку и оказался финансово нестабильным.,Financial Problem,5,4,finance
4475,I just have a hard time letting everyone know what's going on in my life.,"Мне просто трудно рассказывать всем, что происходит в моей жизни.",Social Relationships,4,3,friends
5547,Something bad happened with my family and it stressed me out and made me sad.,"Что-то плохое случилось с моей семьей, и это меня расстроило и расстроило.",Family Issues,2,1,family
6694,i know i'm not too happy right now and i'm wondering when this feeling of constantly being overwhelmed will go away.,"Я знаю, что сейчас я не слишком счастлив, и мне интересно, когда исчезнет это чувство постоянной подавленности.",Emotional Turmoil,6,5,unknown
2564,The COVID-19 Pandemic conditions seem to be worsening.,"Условия пандемии COVID-19, похоже, ухудшаются.",Other,6,5,unknown
6805,"I miss my dad sometimes, but he's not the same.","Иногда я скучаю по отцу, но он уже не тот.",Family Issues,2,1,family
1732,my back,моя спина,"Health, Fatigue, or Physical Pain",3,2,health
938,i have been stressing about getting enough exercise in now that it is so cold.,"Я беспокоился о том, чтобы получить достаточно физических упражнений сейчас, когда так холодно.","Health, Fatigue, or Physical Pain",3,2,health
686,i am worried about trump being re-elected.,Я беспокоюсь о переизбрании Трампа.,Other,6,5,unknown
638,i am stressing out because my performance review at work is coming up.,"Я нервничаю, потому что скоро у меня будет аттестация на работе.",Work,1,0,work
4138,It's just gotten to the point where I can't live there anymore because of the stress it's causing me.,"Дошло до того, что я больше не могу там жить из-за стресса, который это мне причиняет.",Emotional Turmoil,6,5,unknown
1705,money situation in running low this month and bills are pileing up,"В этом месяце денежная ситуация на исходе, а счета накапливаются",Financial Problem,5,4,finance
1820,my co-worker has been talking to me too much; can't get any work done.,мой коллега слишком много со мной разговаривал; не могу выполнить никакую работу.,Work,1,0,work
3968,I have been so stressed out from work..so does that mean I have problems?,"Я был в таком стрессе на работе... значит ли это, что у меня проблемы?",Work,1,0,work
1956,my job hunt is going nowhere and i just have so many self doubts,"мои поиски работы ни к чему не привели, и у меня так много сомнений в себе",Emotional Turmoil,6,5,unknown
3285,"I know that sounds really horrible, but because I've been lacking in that, my health is suffering.","Я знаю, это звучит ужасно, но из-за того, что мне этого не хватает, мое здоровье страдает.","Health, Fatigue, or Physical Pain",3,2,health
